  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:00 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:01 [ksoftirqd/0]
    6 ?        S      0:00 [migration/0]
    7 ?        S      0:00 [watchdog/0]
    8 ?        S      0:00 [migration/1]
   10 ?        S      0:00 [ksoftirqd/1]
   11 ?        S      0:00 [watchdog/1]
   12 ?        S<     0:00 [cpuset]
   13 ?        S<     0:00 [khelper]
   14 ?        S      0:00 [kdevtmpfs]
   15 ?        S<     0:00 [netns]
   17 ?        S      0:00 [sync_supers]
   18 ?        S      0:00 [bdi-default]
   19 ?        S<     0:00 [kintegrityd]
   20 ?        S<     0:00 [kblockd]
   21 ?        S<     0:00 [ata_sff]
   22 ?        S      0:00 [khubd]
   23 ?        S<     0:00 [md]
   24 ?        S      0:03 [kworker/0:1]
   26 ?        S      0:00 [khungtaskd]
   27 ?        S      0:00 [kswapd0]
   28 ?        SN     0:00 [ksmd]
   29 ?        SN     0:00 [khugepaged]
   30 ?        S      0:00 [fsnotify_mark]
   31 ?        S      0:00 [ecryptfs-kthrea]
   32 ?        S<     0:00 [crypto]
   41 ?        S<     0:00 [kthrotld]
   44 ?        S      0:00 [scsi_eh_0]
   45 ?        S      0:00 [scsi_eh_1]
   48 ?        S<     0:00 [binder]
   67 ?        S<     0:00 [deferwq]
   68 ?        S<     0:00 [charger_manager]
   69 ?        S<     0:00 [devfreq_wq]
   70 ?        S      0:03 [kworker/0:2]
  122 ?        S      0:07 [kworker/1:2]
  189 ?        S<     0:00 [firewire]
  192 ?        S      0:00 [scsi_eh_2]
  197 ?        S      0:00 [scsi_eh_3]
  198 ?        S      0:00 [scsi_eh_4]
  228 ?        S      0:00 [jbd2/sda6-8]
  229 ?        S<     0:00 [ext4-dio-unwrit]
  251 ?        S      0:00 [flush-8:0]
  320 ?        S      0:00 upstart-udev-bridge --daemon
  323 ?        Ss     0:00 /sbin/udevd --daemon
  447 ?        S<     0:00 [cfg80211]
  533 ?        Sl     0:00 rsyslogd -c5
  534 ?        Ss     0:06 dbus-daemon --system --fork --activation=upstart
  550 ?        Ss     0:00 /usr/sbin/bluetoothd
  564 ?        S      0:00 avahi-daemon: running [agenvida.local]
  566 ?        S      0:00 avahi-daemon: chroot helper
  586 ?        S      0:00 /sbin/udevd --daemon
  606 ?        Ss     0:00 /usr/sbin/cupsd -F
  624 ?        S<     0:00 [krfcommd]
  637 ?        Sl     0:00 /usr/lib/i386-linux-gnu/colord/colord
  653 ?        S<     0:00 [hd-audio0]
  659 ?        S<     0:00 [tifm]
  662 ?        S      0:00 /sbin/udevd --daemon
  687 ?        S<     0:00 [kpsmoused]
  752 ?        S      0:00 [pccardd]
  772 ?        Ss     0:00 /usr/sbin/modem-manager
  777 ?        Ssl    0:02 NetworkManager
  783 ?        Sl     0:09 /usr/lib/policykit-1/polkitd --no-debug
  804 ?        S      0:00 upstart-socket-bridge --daemon
  924 tty4     Ss+    0:00 /sbin/getty -8 38400 tty4
  932 tty5     Ss+    0:00 /sbin/getty -8 38400 tty5
  938 ?        Ss     0:00 /sbin/wpa_supplicant -B -P /run/sendsigs.omit.d/wpasupplicant.pid -u -s -O /var/run/wpa_supplicant
  947 tty2     Ss+    0:00 /sbin/getty -8 38400 tty2
  950 tty3     Ss+    0:00 /sbin/getty -8 38400 tty3
  954 tty6     Ss+    0:00 /sbin/getty -8 38400 tty6
  957 ?        Ssl    0:01 /opt/teamviewer8/tv_bin/teamviewerd -f
  975 ?        Ssl    0:00 whoopsie
  977 ?        Ss     0:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
  980 ?        Ss     0:01 /usr/sbin/irqbalance
  989 ?        Ss     0:00 cron
  990 ?        Ss     0:00 atd
  991 ?        Ssl    0:03 /usr/sbin/mysqld
 1032 ?        S      0:00 /usr/lib/postgresql/9.1/bin/postgres -D /var/lib/postgresql/9.1/main -c config_file=/etc/postgresql/9.1/main/postgresql.conf
 1034 ?        Ssl    0:00 lightdm
 1043 tty7     Ss+    2:59 /usr/bin/X :0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch -background none
 1059 ?        Sl     0:00 lightdm --session-child 12 15
 1062 ?        Sl     0:00 /usr/lib/accountsservice/accounts-daemon
 1095 ?        Sl     0:02 /usr/sbin/console-kit-daemon --no-daemon
 1172 ?        Ssl    0:00 gnome-session --session=ubuntu
 1174 ?        S      0:00 /sbin/dhclient -d -4 -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /var/run/sendsigs.omit.d/network-manager.dhclient-wlan0.pid -lf /var/lib/dhcp/dhclient-103a8ceb-4b58-4356-b628-da8168ed4224-wlan0.lease -cf /var/run/nm-dhclient-wlan0.conf wlan0
 1247 ?        S      0:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.0.1 --conf-file=/var/run/nm-dns-dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus --conf-dir=/etc/NetworkManager/dnsmasq.d
 1339 ?        Ss     0:01 postgres: writer process                                                                                                    
 1340 ?        Ss     0:01 postgres: wal writer process                                                                                                
 1341 ?        Ss     0:00 postgres: autovacuum launcher process                                                                                       
 1342 ?        Ss     0:00 postgres: stats collector process                                                                                           
 1369 ?        Ss     0:00 /opt/teamviewer8/tv_bin/wine/bin/wineserver
 1413 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session gnome-session --session=ubuntu
 1416 ?        S      0:00 /usr/bin/dbus-launch --exit-with-session gnome-session --session=ubuntu
 1420 ?        Ss     0:05 //bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
 1428 ?        SLl    0:01 /usr/bin/gnome-keyring-daemon --start --components=pkcs11
 1437 ?        Sl     0:05 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
 1445 ?        Sl     0:00 /usr/lib/upower/upowerd
 1496 ?        S      0:00 /usr/lib/gvfs/gvfsd
 1507 ?        Sl     0:00 /usr/lib/gvfs//gvfs-fuse-daemon -f /home/rodrigo/.gvfs
 1611 ?        Sl     1:42 compiz
 1615 ?        S      0:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
 1626 ?        S      0:03 syndaemon -i 2.0 -K -R -t
 1631 ?        S<l    0:13 /usr/bin/pulseaudio --start --log-target=syslog
 1633 ?        SNl    0:00 /usr/lib/rtkit/rtkit-daemon
 1636 ?        Sl     0:00 bluetooth-applet
 1637 ?        Sl     0:00 /usr/lib/gnome-settings-daemon/gnome-fallback-mount-helper
 1638 ?        Sl     0:01 nautilus -n
 1640 ?        Sl     0:01 nm-applet
 1643 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 1656 ?        S      0:00 /usr/lib/pulseaudio/pulse/gconf-helper
